#Mode: 20
#              1                2                3                4                5                6                7                8                9               10               11               12               13 
#      Time (fs)          Sin 1 0          Sin 2 0          Sin 3 0         Tri 1 -1         Tri 2 -1         Tri 3 -1          Tri 1 0          Tri 2 0          Tri 3 0          Tri 1 1          Tri 2 1          Tri 3 1 
    32.000000000      0.000000000      0.970729147      0.026939956      0.000002592      0.001109902      0.000003593      0.000000000      0.000000000      0.000098725      0.000002592      0.001109902      0.000003593 
    32.500000000      0.000000000      0.970537236      0.027202866      0.000002524      0.001075310      0.000003174      0.000000000      0.000000000      0.000097880      0.000002524      0.001075310      0.000003174 
    33.000000000      0.000000000      0.971288723      0.026469673      0.000003281      0.001065914      0.000002666      0.000000000      0.000000000      0.000097879      0.000003281      0.001065914      0.000002666 
    33.500000000      0.000000000      0.973267674      0.024439079      0.000003897      0.001091195      0.000002180      0.000000000      0.000000000      0.000098701      0.000003897      0.001091195      0.000002180 
    34.000000000      0.000000000      0.976282252      0.021309628      0.000004767      0.001147338      0.000001793      0.000000000      0.000000000      0.000100323      0.000004767      0.001147338      0.000001793 
    34.500000000      0.000000000      0.979709494      0.017709789      0.000006072      0.001231281      0.000001540      0.000000000      0.000000000      0.000102932      0.000006072      0.001231281      0.000001540 
    35.000000000      0.000000000      0.982779443      0.014423339      0.000007006      0.001337050      0.000001419      0.000000000      0.000000000      0.000106268      0.000007006      0.001337050      0.000001419 
    35.500000000      0.000000000      0.984880503      0.012078891      0.000007195      0.001456635      0.000001415      0.000000000      0.000000000      0.000110114      0.000007195      0.001456635      0.000001415 
    36.000000000      0.000000000      0.985747694      0.010958738      0.000007354      0.001580969      0.000001476      0.000000000      0.000000000      0.000113970      0.000007354      0.001580969      0.000001476 
    36.500000000      0.000000000      0.985485800      0.010969864      0.000008376      0.001703155      0.000001594      0.000000000      0.000000000      0.000118087      0.000008376      0.001703155      0.000001594 
    37.000000000      0.000000000      0.984468815      0.011765065      0.000010444      0.001809794      0.000001760      0.000000000      0.000000000      0.000122123      0.000010444      0.001809794      0.000001760 
    37.500000000      0.000000000      0.983149316      0.012881004      0.000013176      0.001906591      0.000001946      0.000000000      0.000000000      0.000126253      0.000013176      0.001906591      0.000001946 
    38.000000000      0.000000000      0.981931076      0.013914849      0.000016045      0.001993477      0.000002155      0.000000000      0.000000000      0.000130720      0.000016045      0.001993477      0.000002155 
    38.500000000      0.000000000      0.981040259      0.014622610      0.000018724      0.002079536      0.000002362      0.000000000      0.000000000      0.000135886      0.000018724      0.002079536      0.000002362 
    39.000000000      0.000000000      0.980563259      0.014948355      0.000020579      0.002150006      0.000002538      0.000000000      0.000000000      0.000142141      0.000020579      0.002150006      0.000002538 
    39.500000000      0.000000000      0.980383743      0.014978597      0.000021900      0.002219511      0.000002649      0.000000000      0.000000000      0.000149541      0.000021900      0.002219511      0.000002649 
    40.000000000      0.000000000      0.980360444      0.014878299      0.000022765      0.002276330      0.000002672      0.000000000      0.000000000      0.000157722      0.000022765      0.002276330      0.000002672 
    40.500000000      0.000000000      0.980276797      0.014810143      0.000023673      0.002347524      0.000002605      0.000000000      0.000000000      0.000165456      0.000023673      0.002347524      0.000002605 
    41.000000000      0.000000000      0.980040624      0.014895374      0.000024470      0.002419484      0.000002465      0.000000000      0.000000000      0.000171165      0.000024470      0.002419484      0.000002465 
    41.500000000      0.000000000      0.979607722      0.015192239      0.000024993      0.002486120      0.000002292      0.000000000      0.000000000      0.000173230      0.000024993      0.002486120      0.000002292 
    42.000000000      0.000000000      0.978988837      0.015708895      0.000025144      0.002538530      0.000002130      0.000000000      0.000000000      0.000170661      0.000025144      0.002538530      0.000002130 
    42.500000000      0.000000000      0.978217903      0.016429253      0.000025139      0.002567482      0.000002016      0.000000000      0.000000000      0.000163568      0.000025139      0.002567482      0.000002016 
    43.000000000      0.000000000      0.977325593      0.017340607      0.000025707      0.002562646      0.000001965      0.000000000      0.000000000      0.000153162      0.000025707      0.002562646      0.000001965 
    43.500000000      0.000000000      0.976294437      0.018448348      0.000028187      0.002527847      0.000001968      0.000000000      0.000000000      0.000141212      0.000028187      0.002527847      0.000001968 
    44.000000000      0.000000000      0.968733662      0.026136283      0.000033435      0.002464642      0.000002172      0.000000000      0.000000000      0.000129557      0.000033435      0.002464642      0.000002172 
    44.500000000      0.000000000      0.961542851      0.033481777      0.000043846      0.002381686      0.000002393      0.000000000      0.000000000      0.000119524      0.000043846      0.002381686      0.000002393 
    45.000000000      0.000000000      0.954683902      0.040497394      0.000060943      0.002289830      0.000002603      0.000000000      0.000000000      0.000111951      0.000060943      0.002289830      0.000002603 
    45.500000000      0.000000000      0.948113857      0.047200757      0.000084435      0.002201817      0.000002815      0.000000000      0.000000000      0.000107253      0.000084435      0.002201817      0.000002815 
    46.000000000      0.000000000      0.941753262      0.053650420      0.000111624      0.002130742      0.000003072      0.000000000      0.000000000      0.000105441      0.000111624      0.002130742      0.000003072 
    46.500000000      0.000000000      0.935508005      0.059928099      0.000137657      0.002087776      0.000003445      0.000000000      0.000000000      0.000106141      0.000137657      0.002087776      0.000003445 
    47.000000000      0.000000000      0.929289139      0.066121611      0.000156807      0.002079495      0.000004000      0.000000000      0.000000000      0.000108648      0.000156807      0.002079495      0.000004000 
