# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
     111 -0.11501451E+02 -0.82413219E+01  0.32601292E+01  0.34281905E+01
     112 -0.11506656E+02 -0.82431755E+01  0.32634810E+01  0.34281905E+01
     113 -0.11510106E+02 -0.82446926E+01  0.32654138E+01  0.34281905E+01
     114 -0.11514095E+02 -0.82459165E+01  0.32681785E+01  0.34281905E+01
     115 -0.11518047E+02 -0.82472590E+01  0.32707875E+01  0.34281905E+01
     116 -0.11522144E+02 -0.82489448E+01  0.32731996E+01  0.34281905E+01
     117 -0.11525758E+02 -0.82501624E+01  0.32755957E+01  0.34281905E+01
     118 -0.11529552E+02 -0.82517856E+01  0.32777663E+01  0.34281905E+01
     119 -0.11534151E+02 -0.82533428E+01  0.32808080E+01  0.34281905E+01
     120 -0.11537355E+02 -0.82544267E+01  0.32829285E+01  0.34281905E+01
     121 -0.11540852E+02 -0.82557752E+01  0.32850768E+01  0.34281905E+01
     122 -0.11544687E+02 -0.82570493E+01  0.32876380E+01  0.34281905E+01
     123 -0.11547062E+02 -0.82581064E+01  0.32889551E+01  0.34281905E+01
     124 -0.11550768E+02 -0.82593539E+01  0.32914141E+01  0.34281905E+01
     125 -0.11554430E+02 -0.82607460E+01  0.32936843E+01  0.34281905E+01
     126 -0.11557410E+02 -0.82618443E+01  0.32955657E+01  0.34281905E+01
     127 -0.11561166E+02 -0.82630684E+01  0.32980971E+01  0.34281905E+01
     128 -0.11564192E+02 -0.82640913E+01  0.33001011E+01  0.34281905E+01
     129 -0.11566516E+02 -0.82650299E+01  0.33014866E+01  0.34281905E+01
     130 -0.11569627E+02 -0.82661611E+01  0.33034664E+01  0.34281905E+01
     131 -0.11572054E+02 -0.82669689E+01  0.33050856E+01  0.34281905E+01
     132 -0.11575129E+02 -0.82679541E+01  0.33071753E+01  0.34281905E+01
     133 -0.11578314E+02 -0.82690347E+01  0.33092794E+01  0.34281905E+01
     134 -0.11581084E+02 -0.82699013E+01  0.33111824E+01  0.34281905E+01
     135 -0.11583025E+02 -0.82706477E+01  0.33123768E+01  0.34281905E+01
     136 -0.11585432E+02 -0.82713723E+01  0.33140600E+01  0.34281905E+01
     137 -0.11588178E+02 -0.82722524E+01  0.33159261E+01  0.34281905E+01
     138 -0.11590469E+02 -0.82729836E+01  0.33174856E+01  0.34281905E+01
     139 -0.11593015E+02 -0.82739537E+01  0.33190611E+01  0.34281905E+01
     140 -0.11594852E+02 -0.82747603E+01  0.33200918E+01  0.34281905E+01
     141 -0.11598515E+02 -0.82759367E+01  0.33225785E+01  0.34281905E+01
     142 -0.11600736E+02 -0.82765925E+01  0.33241433E+01  0.34281905E+01
     143 -0.11603762E+02 -0.82776000E+01  0.33261622E+01  0.34281905E+01
     144 -0.11605970E+02 -0.82784301E+01  0.33275400E+01  0.34281905E+01
     145 -0.11607779E+02 -0.82790623E+01  0.33287170E+01  0.34281905E+01
     146 -0.11609996E+02 -0.82797460E+01  0.33302503E+01  0.34281905E+01
     147 -0.11611610E+02 -0.82802868E+01  0.33313229E+01  0.34281905E+01
     148 -0.11613772E+02 -0.82809706E+01  0.33328012E+01  0.34281905E+01
     149 -0.11615328E+02 -0.82816003E+01  0.33337277E+01  0.34281905E+01
     150 -0.11617921E+02 -0.82824285E+01  0.33354927E+01  0.34281905E+01
     151 -0.11619785E+02 -0.82829760E+01  0.33368089E+01  0.34281905E+01
     152 -0.11621716E+02 -0.82836796E+01  0.33380361E+01  0.34281905E+01
     153 -0.11623510E+02 -0.82842695E+01  0.33392407E+01  0.34281905E+01
     154 -0.11625135E+02 -0.82849256E+01  0.33402099E+01  0.34281905E+01
     155 -0.11627428E+02 -0.82855945E+01  0.33418339E+01  0.34281905E+01
     156 -0.11628846E+02 -0.82860239E+01  0.33428220E+01  0.34281905E+01
     157 -0.11630244E+02 -0.82864525E+01  0.33437916E+01  0.34281905E+01
     158 -0.11632272E+02 -0.82871797E+01  0.33450925E+01  0.34281905E+01
     159 -0.11633814E+02 -0.82876463E+01  0.33461679E+01  0.34281905E+01
     160 -0.11636263E+02 -0.82885544E+01  0.33477084E+01  0.34281905E+01
     161 -0.11637863E+02 -0.82890749E+01  0.33487877E+01  0.34281905E+01
     162 -0.11639406E+02 -0.82895972E+01  0.33498086E+01  0.34281905E+01
     163 -0.11640295E+02 -0.82898992E+01  0.33503957E+01  0.34281905E+01
     164 -0.11641663E+02 -0.82903019E+01  0.33513607E+01  0.34281905E+01
     165 -0.11642974E+02 -0.82907259E+01  0.33522482E+01  0.34281905E+01
     166 -0.11645098E+02 -0.82912735E+01  0.33538243E+01  0.34281905E+01
     167 -0.11646682E+02 -0.82917341E+01  0.33549483E+01  0.34281905E+01
     168 -0.11647882E+02 -0.82922049E+01  0.33556770E+01  0.34281905E+01
     169 -0.11649475E+02 -0.82927842E+01  0.33566909E+01  0.34281905E+01
     170 -0.11650855E+02 -0.82932460E+01  0.33576087E+01  0.34281905E+01
     171 -0.11652147E+02 -0.82936410E+01  0.33585060E+01  0.34281905E+01
     172 -0.11653552E+02 -0.82940158E+01  0.33595358E+01  0.34281905E+01
     173 -0.11654542E+02 -0.82943703E+01  0.33601713E+01  0.34281905E+01
     174 -0.11655762E+02 -0.82946997E+01  0.33610627E+01  0.34281905E+01
     175 -0.11656680E+02 -0.82950646E+01  0.33616154E+01  0.34281905E+01
     176 -0.11657704E+02 -0.82953874E+01  0.33623171E+01  0.34281905E+01
     177 -0.11659211E+02 -0.82958769E+01  0.33633345E+01  0.34281905E+01
     178 -0.11660741E+02 -0.82963036E+01  0.33644372E+01  0.34281905E+01
     179 -0.11661878E+02 -0.82965914E+01  0.33652866E+01  0.34281905E+01
     180 -0.11663652E+02 -0.82970468E+01  0.33666055E+01  0.34281905E+01
     181 -0.11664844E+02 -0.82973273E+01  0.33675170E+01  0.34281905E+01
     182 -0.11665787E+02 -0.82975854E+01  0.33682016E+01  0.34281905E+01
     183 -0.11667455E+02 -0.82980045E+01  0.33694504E+01  0.34281905E+01
     184 -0.11668282E+02 -0.82982234E+01  0.33700588E+01  0.34281905E+01
     185 -0.11669629E+02 -0.82985570E+01  0.33710718E+01  0.34281905E+01
     186 -0.11670572E+02 -0.82988146E+01  0.33717574E+01  0.34281905E+01
     187 -0.11672150E+02 -0.82991428E+01  0.33730077E+01  0.34281905E+01
     188 -0.11673770E+02 -0.82994731E+01  0.33742969E+01  0.34281905E+01
     189 -0.11674834E+02 -0.82997485E+01  0.33750855E+01  0.34281905E+01
