#Mode: 20
#              1                2                3                4                5                6                7                8                9               10               11               12               13 
#      Time (fs)          Sin 1 0          Sin 2 0          Sin 3 0         Tri 1 -1         Tri 2 -1         Tri 3 -1          Tri 1 0          Tri 2 0          Tri 3 0          Tri 1 1          Tri 2 1          Tri 3 1 
    37.000000000      0.000000000      0.255054497      0.739344020      0.000526087      0.001375305      0.000888299      0.000000000      0.000022094      0.000000000      0.000526086      0.001375307      0.000888304 
    37.500000000      0.000000000      0.252950774      0.741410982      0.000490714      0.001461329      0.000856215      0.000000000      0.000021723      0.000000000      0.000490712      0.001461331      0.000856220 
    38.000000000      0.000000000      0.249846403      0.744493201      0.000450728      0.001545596      0.000823060      0.000000000      0.000021618      0.000000000      0.000450727      0.001545599      0.000823066 
    38.500000000      0.000000000      0.243633849      0.750703777      0.000409124      0.001627376      0.000783836      0.000000000      0.000021692      0.000000000      0.000409124      0.001627379      0.000783843 
    39.000000000      0.000000000      0.233835906      0.760493930      0.000380837      0.001705618      0.000737748      0.000000000      0.000021748      0.000000000      0.000380837      0.001705621      0.000737755 
    39.500000000      0.000000000      0.222372725      0.771918613      0.000375004      0.001778924      0.000689611      0.000000000      0.000021574      0.000000000      0.000375004      0.001778927      0.000689618 
    40.000000000      0.000000000      0.211844619      0.782385592      0.000384207      0.001845939      0.000644228      0.000000000      0.000021030      0.000000000      0.000384207      0.001845942      0.000644235 
    40.500000000      0.000000000      0.203542931      0.790643760      0.000388830      0.001905717      0.000602056      0.000000000      0.000020091      0.000000000      0.000388830      0.001905720      0.000602064 
    41.000000000      0.000000000      0.197540069      0.796629129      0.000387443      0.001957444      0.000561095      0.000000000      0.000018825      0.000000000      0.000387444      0.001957447      0.000561103 
    41.500000000      0.000000000      0.193527103      0.800614513      0.000399568      0.001999854      0.000521055      0.000000000      0.000017418      0.000000000      0.000399569      0.001999857      0.000521063 
    42.000000000      0.000000000      0.190811081      0.803275764      0.000433373      0.002031403      0.000483720      0.000000000      0.000016148      0.000000000      0.000433375      0.002031406      0.000483729 
    42.500000000      0.000000000      0.188973803      0.805072716      0.000468693      0.002051101      0.000449328      0.000000000      0.000015223      0.000000000      0.000468695      0.002051104      0.000449337 
    43.000000000      0.000000000      0.188022533      0.806045397      0.000485665      0.002058655      0.000414410      0.000000000      0.000014598      0.000000000      0.000485666      0.002058658      0.000414418 
    43.500000000      0.000000000      0.189972364      0.804195604      0.000474081      0.002054278      0.000380573      0.000000000      0.000014156      0.000000000      0.000474082      0.002054281      0.000380580 
    44.000000000      0.000000000      0.193399688      0.800880781      0.000466244      0.002038365      0.000348257      0.000000000      0.000013787      0.000000000      0.000466245      0.002038368      0.000348264 
    44.500000000      0.000000000      0.195497161      0.798891325      0.000464095      0.002012180      0.000322735      0.000000000      0.000013485      0.000000000      0.000464097      0.002012183      0.000322740 
    45.000000000      0.000000000      0.194337273      0.800170771      0.000450316      0.001978049      0.000310965      0.000000000      0.000013288      0.000000000      0.000450318      0.001978052      0.000310968 
    45.500000000      0.000000000      0.188916506      0.805732663      0.000417599      0.001938811      0.000312406      0.000000000      0.000013192      0.000000000      0.000417601      0.001938814      0.000312407 
    46.000000000      0.000000000      0.179906942      0.814887013      0.000382410      0.001897016      0.000317045      0.000000000      0.000013098      0.000000000      0.000382411      0.001897020      0.000317045 
    46.500000000      0.000000000      0.169197139      0.825725230      0.000361480      0.001854672      0.000316250      0.000000000      0.000012824      0.000000000      0.000361481      0.001854675      0.000316249 
    47.000000000      0.000000000      0.159001806      0.836037502      0.000353469      0.001813476      0.000307284      0.000000000      0.000012233      0.000000000      0.000353469      0.001813479      0.000307282 
    47.500000000      0.000000000      0.152353588      0.842822845      0.000341810      0.001774937      0.000289368      0.000000000      0.000011336      0.000000000      0.000341811      0.001774939      0.000289366 
    48.000000000      0.000000000      0.145981628      0.849342399      0.000323654      0.001740400      0.000268771      0.000000000      0.000010324      0.000000000      0.000323655      0.001740401      0.000268769 
    48.500000000      0.000000000      0.140237322      0.855228323      0.000298774      0.001710394      0.000253336      0.000000000      0.000009348      0.000000000      0.000298775      0.001710394      0.000253334 
    49.000000000      0.000000000      0.136314872      0.859271297      0.000274843      0.001684883      0.000242935      0.000000000      0.000008510      0.000000000      0.000274843      0.001684882      0.000242934 
    49.500000000      0.000000000      0.135260386      0.860424112      0.000257704      0.001663710      0.000232394      0.000000000      0.000007888      0.000000000      0.000257704      0.001663709      0.000232394 
    50.000000000      0.000000000      0.138770767      0.857003236      0.000243585      0.001644015      0.000221628      0.000000000      0.000007542      0.000000000      0.000243585      0.001644014      0.000221629 
    50.500000000      0.000000000      0.147217196      0.848641293      0.000225745      0.001628031      0.000213246      0.000000000      0.000007465      0.000000000      0.000225745      0.001628030      0.000213248 
    51.000000000      0.000000000      0.158030715      0.837902872      0.000204584      0.001614988      0.000209830      0.000000000      0.000007606      0.000000000      0.000204585      0.001614988      0.000209832 
    51.500000000      0.000000000      0.168064986      0.827921995      0.000188675      0.001604244      0.000209657      0.000000000      0.000007865      0.000000000      0.000188675      0.001604243      0.000209660 
    52.000000000      0.000000000      0.175515871      0.820493298      0.000184063      0.001595310      0.000211953      0.000000000      0.000008176      0.000000000      0.000184063      0.001595310      0.000211955 
    52.500000000      0.000000000      0.179354623      0.816648348      0.000189074      0.001587974      0.000217202      0.000000000      0.000008527      0.000000000      0.000189074      0.001587975      0.000217204 
    53.000000000      0.000000000      0.178854869      0.817124415      0.000197575      0.001581799      0.000226526      0.000000000      0.000008913      0.000000000      0.000197574      0.001581800      0.000226528 
    53.500000000      0.000000000      0.174095752      0.821853771      0.000206604      0.001576208      0.000237782      0.000000000      0.000009286      0.000000000      0.000206604      0.001576209      0.000237783 
    54.000000000      0.000000000      0.166080267      0.829834097      0.000215870      0.001570360      0.000251767      0.000000000      0.000009641      0.000000000      0.000215870      0.001570362      0.000251766 
    54.500000000      0.000000000      0.156547037      0.839326138      0.000225067      0.001566066      0.000267330      0.000000000      0.000009898      0.000000000      0.000225067      0.001566068      0.000267328 
    55.000000000      0.000000000      0.147889570      0.847937206      0.000236597      0.001561233      0.000283729      0.000000000      0.000010107      0.000000000      0.000236596      0.001561235      0.000283727 
    55.500000000      0.000000000      0.142543244      0.853236625      0.000250720      0.001556740      0.000297447      0.000000000      0.000010317      0.000000000      0.000250719      0.001556742      0.000297445 
    56.000000000      0.000000000      0.141608111      0.854119830      0.000268645      0.001552831      0.000309214      0.000000000      0.000010678      0.000000000      0.000268645      0.001552833      0.000309212 
    56.500000000      0.000000000      0.144138188      0.851529826      0.000291311      0.001549692      0.000319276      0.000000000      0.000011431      0.000000000      0.000291310      0.001549692      0.000319274 
    57.000000000      0.000000000      0.148201460      0.847403208      0.000314173      0.001547397      0.000330074      0.000000000      0.000012046      0.000000000      0.000314172      0.001547397      0.000330074 
    57.500000000      0.000000000      0.152655793      0.842882593      0.000334807      0.001545902      0.000343775      0.000000000      0.000012645      0.000000000      0.000334806      0.001545902      0.000343776 
    58.000000000      0.000000000      0.157807037      0.837665064      0.000352601      0.001544867      0.000359864      0.000000000      0.000013234      0.000000000      0.000352600      0.001544867      0.000359866 
    58.500000000      0.000000000      0.164312181      0.831101985      0.000367343      0.001543578      0.000375108      0.000000000      0.000013775      0.000000000      0.000367342      0.001543577      0.000375111 
    59.000000000      0.000000000      0.171870829      0.823500802      0.000379754      0.001540869      0.000386429      0.000000000      0.000014264      0.000000000      0.000379753      0.001540868      0.000386432 
